stub,n_rois,covered_area_nm2,covered_area_um2,coverage_fraction,coverage_percent,rois_per_nm2,rois_per_um2
PR1_ME_10,593,3526226.054064,3.526226054064,0.33037694295247394,33.03769429524739,0.00016816845854693955,168.16845854693955
PR3_ME_06,61,367978.804544,0.367978804544,0.034327189127604164,3.4327189127604165,0.00016577041733583354,165.77041733583354
FAS16_ME_20,349,2136163.936368,2.1361639363680003,0.20366287231445312,20.366287231445312,0.00016337697405068317,163.37697405068317
PR5_ME_36,549,3480954.6911360007,3.4809546911360005,0.32262293497721356,32.26229349772136,0.00015771535360629334,157.71535360629335
FAS20_ME_05,633,4209416.753168001,4.209416753168001,0.40132776896158856,40.13277689615886,0.00015037712754946517,150.37712754946517
PR5_ME_38,441,3043641.9311360004,3.0436419311360003,0.28209177652994794,28.209177652994793,0.00014489220807764413,144.89220807764414
PR1_ME_overview28,206,1436286.0668640002,1.436286066864,0.13693618774414062,13.693618774414062,0.00014342546707967602,143.42546707967603
FAS6_ME_new_04,729,5103696.250576001,5.103696250576001,0.4865887959798177,48.658879597981766,0.0001428376541644157,142.8376541644157
FAS23_ME_16,589,4251470.5709999995,4.251470571,0.3875223795572917,38.75223795572917,0.0001385402980365591,138.54029803655908
FAS6_ME_new_03,830,6003857.410848001,6.003857410848001,0.5724105834960938,57.241058349609375,0.00013824445572280315,138.24445572280314
PR5_ME_01,149,1100170.015632,1.100170015632,0.10581588745117188,10.581588745117188,0.00013543361288064732,135.43361288064733
PR21_ME_05,468,3502544.1954030003,3.5025441954030003,0.3202857971191406,32.02857971191406,0.0001336171576690561,133.61715766905613
FAS23_ME_07,378,2859266.01645,2.85926601645,0.26062266031901044,26.062266031901043,0.00013220176011090995,132.20176011090996
PR5_ME_37,375,2838808.0642560003,2.8388080642560003,0.2631072998046875,26.31072998046875,0.00013209769435338018,132.09769435338018
FAS6_ME_new_38,569,4330273.8186,4.3302738186,0.40439097086588544,40.439097086588546,0.00013140046653769362,131.4004665376936
FAS20_ME_26,779,5993886.029436,5.993886029436,0.5258738199869791,52.587381998697914,0.00012996576781312285,129.96576781312285
PR9_ME_17,240,1854610.840368,1.8546108403680002,0.17837905883789062,17.837905883789062,0.00012940720218823813,129.4072021882381
PR21_ME_03,794,6202353.529680001,6.202353529680001,0.5913352966308594,59.13352966308594,0.00012801592108551817,128.01592108551816
PR21_ME_04,531,4258563.981408001,4.258563981408001,0.40601348876953125,40.601348876953125,0.00012468991949357455,124.68991949357456
FAS6_ME_new_19,655,5261492.5137,5.2614925137,0.49135462443033856,49.13546244303386,0.00012448939123157457,124.48939123157456
FAS4_ME_new_13,646,5192054.564576001,5.192054564576001,0.49501291910807294,49.501291910807296,0.00012442088039819248,124.4208803981925
PR1_ME_11,428,3480787.480176,3.4807874801759997,0.32611974080403644,32.61197408040364,0.00012296068129340632,122.96068129340632
PR6_ME_37,497,4057466.675072001,4.057466675072001,0.37605539957682294,37.605539957682296,0.00012249022353120882,122.49022353120883
FAS4_ME_new_03,441,3621663.9169920003,3.6216639169920004,0.3452911376953125,34.52911376953125,0.00012176723464894993,121.76723464894992
FAS24_ME_06,655,5382487.422,5.3824874220000005,0.5021095275878906,50.21095275878906,0.00012169094856084551,121.69094856084551
FAS6_ME_new_09,550,4522945.394,4.522945394000001,0.43121973673502606,43.12197367350261,0.00012160217559327888,121.60217559327889
PR6_ME_43,682,5624960.242304001,5.624960242304001,0.5213343302408854,52.13343302408854,0.00012124530141045952,121.24530141045953
PR13_ME_04,464,3839814.3888000003,3.8398143888000003,0.3582000732421875,35.82000732421875,0.00012083917424586947,120.83917424586947
FAS6_ME_new_21,480,3998027.3625,3.9980273625,0.3733634948730469,37.33634948730469,0.00012005920832414013,120.05920832414013
FAS6_ME_new_26,623,5198994.6147,5.1989946147,0.4855181376139323,48.551813761393234,0.0001198308608049884,119.8308608049884
FAS6_ME_new_20,724,6083796.0249,6.0837960249,0.5681470235188802,56.81470235188802,0.000119004647269038,119.004647269038
PR11_ME_06,493,4164781.169664,4.164781169664,0.4050178527832031,40.50178527832031,0.0001183735663210784,118.37356632107841
FAS23_ME_08,515,4363156.07235,4.36315607235,0.39770253499348956,39.770253499348954,0.00011803382493320265,118.03382493320267
PR5_ME_09,233,1975130.7978240002,1.9751307978240003,0.1830596923828125,18.30596923828125,0.000117966870982264,117.966870982264
FAS4_ME_new_14,598,5079996.216768,5.079996216768,0.4843292236328125,48.43292236328125,0.000117716623100255,117.716623100255
PR1_ME_08,202,1721467.7868960002,1.7214677868960002,0.16128667195638022,16.128667195638023,0.00011734172520545894,117.34172520545893
